BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
PSYC Psychology,Aboud F,Health Psychology in Global Perspective,Cross Cultural Psychology,Volume 2,4/30/1998,344 pages,978-0-7619-0940-8,£103.00,978-0-7619-0941-5,£85.00,,,http://www.uk.sagepub.com/books/Book7129
HEAL Health Studies and Nursing,Abraham C & Kools M,Writing Health Communication,,,12/31/2011,200 pages,978-1-84787-185-5,£83.00,978-1-84787-186-2,£26.99,978-1-4462-5417-2,£21.99,http://www.uk.sagepub.com/books/Book232403
EDUT Tertiary Education,Abrahamson L,The Early Years Teacher's Book,,,4/17/2015,432 pages,978-1-4739-1750-7,£71.00,978-1-4739-0572-6,£24.99,978-1-4739-1751-4,£19.99,http://www.uk.sagepub.com/books/Book243617
,Abrahamson L,The Early Years Teacher's Book: Second Edition,,,3/31/2018,440 pages,978-1-5264-3528-6,£65.00,978-1-5264-3529-3,£24.99,,,http://www.uk.sagepub.com/books/Book257380
MANA Management and Organization Studies,Abrahamsson B,The Logic of Organizations,,,2/12/1993,184 pages,978-0-8039-5038-2,£35.00,978-0-8039-5039-9,£43.99,,,http://www.uk.sagepub.com/books/Book3878
MANA Management and Organization Studies,Abrahamsson B,Why Organizations?,,,3/12/1993,264 pages,978-0-8039-5040-5,£32.99,978-0-8039-5041-2,£47.99,,,http://www.uk.sagepub.com/books/Book3881
EDUT Tertiary Education,Abrams J,Having Hard Conversations,,,3/6/2009,152 pages,978-1-4129-6499-9,£46.99,978-1-4129-6500-2,£26.99,,,http://www.uk.sagepub.com/books/Book232302
EDUC Primary and Secondary Education,Abrams J,Hard Conversations Unpacked,,,3/31/2016,112 pages,,,978-1-5063-0290-4,£22.99,,,http://www.uk.sagepub.com/books/Book245578
EDUC Primary and Secondary Education,Abrams J & Frank V,The Multigenerational Workplace,,,1/31/2014,160 pages,,,978-1-4522-1882-3,£25.99,,,http://www.uk.sagepub.com/books/Book237682
PSYC Psychotherapy and Counselling,Abrams M,Sexuality and Its Disorders,,,1/31/2017,472 pages,978-1-4129-7880-4,£67.00,978-1-4129-7881-1,£68.00,,,http://www.uk.sagepub.com/books/Book234172
